year,Place,Time,First.Name,Last.Name,Gender,Age,Lyon.Ridge,Red.Star.Ridge,Duncan.Canyon,Robinson.Flat,Miller's.Defeat,Dusty.Corners,Last.Chance,Devil's.Thumb,El.Dorado.Creek,Michigan.Bluff,Foresthill,Dardanelles.(Cal-1),Peachstone.(Cal-2),Rucky.Chucky,Green.Gate,Auburn.Lake.Trails,Brown's.Bar,Highway.49,No.Hands.Bridge,Robie.Point
1986,1,59867, Chuck,Jones,M,27,NA,9540,NA,17640,NA,NA,24240,27360,NA,32280,35940,NA,NA,45660,NA,50340,NA,55500,NA,NA
1986,2,60499, Jim,Pellon,M,36,NA,9420,NA,17940,NA,NA,24480,27660,NA,32700,36420,NA,NA,45780,NA,50700,NA,55920,NA,NA
1986,3,66029, Jim,King,M,29,NA,8880,NA,16560,NA,NA,23400,26580,NA,32280,37260,NA,NA,48480,NA,54300,NA,60720,NA,NA
1986,4,66945, Herb,Tanzer,M,34,NA,9420,NA,17940,NA,NA,25200,28740,NA,34260,38520,NA,NA,49440,NA,55140,NA,60960,NA,NA
1986,5,67249, John,Loeschorn,M,42,NA,9600,NA,17760,NA,NA,24120,27780,NA,33180,37560,NA,NA,47580,NA,53100,NA,58740,NA,NA
1986,6,67676, Dan,Williams,M,37,NA,9600,NA,17880,NA,NA,24720,28500,NA,34260,38520,NA,NA,49200,NA,55200,NA,61860,NA,NA
1986,7,68523, Timothy,Twietmeyer,M,27,NA,10440,NA,19620,NA,NA,27120,31080,NA,36840,41160,NA,NA,51900,NA,57480,NA,63420,NA,NA
1986,8,68620, Doug,Latimer,M,48,NA,10140,NA,19140,NA,NA,26760,30240,NA,35760,39960,NA,NA,50280,NA,55920,NA,62520,NA,NA
1986,9,68626, Craig,Moore,M,33,NA,9900,NA,17940,NA,NA,25260,29340,NA,35400,40200,NA,NA,50460,NA,56520,NA,63240,NA,NA
1986,10,70161, Dave,Stevenson,M,33,NA,10560,NA,19800,NA,NA,27480,31560,NA,37080,41400,NA,NA,52260,NA,57480,NA,64080,NA,NA
1986,11,72512, Jim,Pomroy,M,39,NA,10140,NA,18900,NA,NA,26460,30360,NA,36120,40500,NA,NA,51900,NA,58260,NA,65940,NA,NA
1986,12,73225, David,Roberts,M,33,NA,9660,NA,18060,NA,NA,25200,29160,NA,35340,39840,NA,NA,51540,NA,57960,NA,65640,NA,NA
1986,13,73960, Martin,Jones,M,43,NA,10500,NA,19560,NA,NA,26580,30300,NA,36360,41400,NA,NA,52560,NA,59160,NA,67320,NA,NA
1986,14,74871, Rob,Volkenand,M,55,NA,11160,NA,20400,NA,NA,27540,31320,NA,37260,42240,NA,NA,53820,NA,60600,NA,67860,NA,NA
1986,15,75433, David,Roth,M,32,NA,9840,NA,18960,NA,NA,26700,30660,NA,36960,42420,NA,NA,54900,NA,62100,NA,69300,NA,NA
1986,16,75496, Kathy,D'Onofrio,F,21,NA,10140,NA,19200,NA,NA,26820,30660,NA,36840,41760,NA,NA,53880,NA,61440,NA,69600,NA,NA
1986,17,75690, Roger,Daniels,M,50,NA,9600,NA,18180,NA,NA,26040,29940,NA,36480,41940,NA,NA,55200,NA,62760,NA,69900,NA,NA
1986,18,75720, Charles W.,Savage III,M,38,NA,10740,NA,20580,NA,NA,28560,32760,NA,39360,44580,NA,NA,56580,NA,63840,NA,70920,NA,NA
1986,19,75959, Kimberly,Moody,F,31,NA,10260,NA,19800,NA,NA,27540,31740,NA,38220,43080,NA,NA,55680,NA,62820,NA,70080,NA,NA
1986,20,76200, Alfred,Bogenhuber,M,46,NA,10980,NA,20940,NA,NA,29340,33660,NA,40080,44580,NA,NA,56760,NA,63660,NA,70320,NA,NA
1986,21,76562, Chris,Turney,M,28,NA,9720,NA,18480,NA,NA,25200,29100,NA,34980,39780,NA,NA,51600,NA,58560,NA,67800,NA,NA
1986,22,76668, Vicki,Johnson,F,43,NA,11100,NA,20340,NA,NA,28080,32460,NA,39180,43920,NA,NA,55800,NA,63000,NA,70440,NA,NA
1986,23,77002, Gard,Leighton,M,52,NA,10260,NA,20340,NA,NA,28380,33060,NA,39600,44580,NA,NA,55860,NA,63000,NA,70380,NA,NA
1986,24,77174, Bjorg,Austrheim-Smith,F,43,NA,10920,NA,21000,NA,NA,29220,33240,NA,39480,44520,NA,NA,57060,NA,63780,NA,71040,NA,NA
1986,25,77414, Bill,Kissel,M,33,NA,10020,NA,19200,NA,NA,27420,31740,NA,38040,42960,NA,NA,54900,NA,62700,NA,70620,NA,NA
1986,26,77855, James David,Park,M,30,NA,10980,NA,20340,NA,NA,28980,33060,NA,39060,43500,NA,NA,55320,NA,63240,NA,70860,NA,NA
1986,27,77931, David,Gray,M,32,NA,11280,NA,20760,NA,NA,28800,32820,NA,38820,44160,NA,NA,56340,NA,64200,NA,71880,NA,NA
1986,28,78032, Bruce,La Belle,M,30,NA,9180,NA,18000,NA,NA,26160,30480,NA,37740,43320,NA,NA,57300,NA,64440,NA,72900,NA,NA
1986,29,78253, Tom,Rotkis,M,38,NA,10740,NA,20100,NA,NA,28380,33120,NA,40200,45540,NA,NA,57540,NA,64980,NA,72540,NA,NA
1986,30,78308, Dana,Gard,M,41,NA,10140,NA,19260,NA,NA,27840,31860,NA,37980,42720,NA,NA,55980,NA,64320,NA,72480,NA,NA
1986,31,78822, Dane,Larsen,M,35,NA,10260,NA,19500,NA,NA,27240,31140,NA,37920,42900,NA,NA,55980,NA,63480,NA,71460,NA,NA
1986,32,78879, Mary,Hammes,F,26,NA,11520,NA,21660,NA,NA,29700,34140,NA,40980,45960,NA,NA,57720,NA,64800,NA,72300,NA,NA
1986,33,78951, Charlie,Hoover,M,37,NA,10260,NA,19980,NA,NA,27780,31740,NA,38100,43140,NA,NA,56460,NA,64440,NA,72600,NA,NA
1986,34,79501, Eric,Evers,M,36,NA,11640,NA,21660,NA,NA,30420,34440,NA,41160,46200,NA,NA,58380,NA,65280,NA,72960,NA,NA
1986,35,79778, Jack,Christian,M,33,NA,11880,NA,22140,NA,NA,31020,35580,NA,42900,48240,NA,NA,61260,NA,68280,NA,74400,NA,NA
1986,36,79894, Stephan,Harris,M,32,NA,10140,NA,19740,NA,NA,28200,32760,NA,39420,45120,NA,NA,56820,NA,63720,NA,71580,NA,NA
1986,37,80285, Chris,Libby,M,28,NA,10200,NA,19800,NA,NA,28560,33060,NA,40020,45180,NA,NA,57900,NA,65280,NA,73320,NA,NA
1986,38,80397, Bruce,Wise,M,37,NA,11220,NA,20940,NA,NA,29280,33300,NA,39840,44640,NA,NA,57420,NA,65340,NA,72960,NA,NA
1986,39,80758, Bobbie,Dixon,F,39,NA,11100,NA,21240,NA,NA,29700,34260,NA,41280,46200,NA,NA,58800,NA,66420,NA,74040,NA,NA
1986,40,80955, Mike,Pelechaty,M,31,NA,10200,NA,19200,NA,NA,26700,30420,NA,36300,41340,NA,NA,55380,NA,63600,NA,72780,NA,NA
1986,41,81057, Roger,Sebert,M,42,NA,11040,NA,20940,NA,NA,28860,33240,NA,40140,45360,NA,NA,58080,NA,65700,NA,73500,NA,NA
1986,42,81212, Max,Bogenhuber,M,44,NA,10140,NA,19620,NA,NA,28200,32460,NA,40020,45360,NA,NA,58260,NA,66060,NA,74220,NA,NA
1986,43,81274, Dennis,Fugate,M,34,NA,11880,NA,22260,NA,NA,30420,34440,NA,41220,46080,NA,NA,58560,NA,66660,NA,73920,NA,NA
1986,44,81479, Milan,Zeman,M,44,NA,10800,NA,20580,NA,NA,28620,33180,NA,40080,45480,NA,NA,59100,NA,66840,NA,74640,NA,NA
1986,45,81764, Harry,Sloan,M,37,NA,11940,NA,21600,NA,NA,29100,33060,NA,39180,43920,NA,NA,55860,NA,64920,NA,73500,NA,NA
1986,46,81823, Nancy,McCord,F,35,NA,12120,NA,22740,NA,NA,30900,35220,NA,41820,46740,NA,NA,59220,NA,66900,NA,74580,NA,NA
1986,47,81955, Ron,Whitmill,M,30,NA,12660,NA,23700,NA,NA,32340,36720,NA,43620,48480,NA,NA,60900,NA,68460,NA,75420,NA,NA
1986,48,82191, Harlow,Akins,M,42,NA,11820,NA,22260,NA,NA,30840,35280,NA,42300,47280,NA,NA,60660,NA,68340,NA,76020,NA,NA
1986,49,82350, Robert L.,DeVelice,M,32,NA,10560,NA,20820,NA,NA,29280,34020,NA,41460,46380,NA,NA,59640,NA,67980,NA,75360,NA,NA
1986,50,82457, Everett,Riggle,M,53,NA,10560,NA,19980,NA,NA,27540,31500,NA,38760,43740,NA,NA,58740,NA,66840,NA,75060,NA,NA
1986,51,82662, Roland,Martin,M,37,NA,11640,NA,21960,NA,NA,30480,34740,NA,41580,46920,NA,NA,59580,NA,66780,NA,75000,NA,NA
1986,52,82882, William,Tramontin,M,37,NA,11820,NA,22080,NA,NA,30840,35340,NA,42900,48300,NA,NA,61440,NA,69360,NA,76320,NA,NA
1986,53,83301, Tim,Guinan,M,39,NA,11940,NA,22140,NA,NA,30780,35340,NA,43080,48900,NA,NA,63240,NA,70020,NA,77520,NA,NA
